armor_type	str_mod	cr	dex_mod	damage_resistances	wis	vulnerabilities	wis_save	hp_average	name	passive_perception	actions	legnedary_actions	launguages	xp	size	cha_save	armor_class	dex_save	con_mod	senses	skills	con_save	speed	str	damage_immunities	wis_mod	reactions	int_mod	condition_immunities	cha	cha_mod	dex	con	int_save	alignment	int	type	hp_source	str_save	special_abilties
	+1	1	+1		10			38	Harpy	10	"[{""Name"":""Multiattack"";""Desc"":""The harpy makes two attacks: one with its claws and one with its club.""};{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d4 + 1"";""Damage Type"":""slashing""};{""Name"":""Club"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 1"";""Damage Type"":""bludgeoning""};{""Name"":""Luring Song"";""Desc"":""The harpy sings a magical melody. Every humanoid and giant within 300 ft. of the harpy that can hear the song must succeed on a DC 11 Wisdom saving throw or be charmed until the song ends. The harpy must take a bonus action on its subsequent turns to continue singing. It can stop singing at any time. The song ends if the harpy is incapacitated.<br> While charmed by the harpy; a target is incapacitated and ignores the songs of other harpies. If the charmed target is more than 5 ft. away from the harpy; the must move on its turn toward the harpy by the most direct route. It doesn't avoid opportunity attacks; but before moving into damaging terrain; such as lava or a pit; and whenever it takes damage from a source other than the harpy; a target can repeat the saving throw. A creature can also repeat the saving throw at the end of each of its turns. If a creature's saving throw is successful; the effect ends on it.<br> A target that successfully saves is immune to this harpy's song for the next 24 hours.""}]"		Common	200	Medium		11		+1				20 ft.; fly 40 ft.	12		+0		-2		13	+1	13	12		Chaotic Evil	7	monstrosity	7d8+7		
	-3	0	+3		14			1	Hawk	14	"[{""Name"":""Talons"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""slashing""}]"			10	Tiny		13		-1		Perception +4		10 ft.; fly 60 ft.	5		+2		-4		6	-2	16	8		Unaligned	2	beast	1d4-1		"[{""Name"":""Keen Sight"";""Desc"":""The hawk has advantage on Wisdom (Perception) checks that rely on sight.""}]"
Natural Armor	+3	3	+1		13			45	Hell Hound	15	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d8 + 3"";""Damage Type"":""piercing"";""Damage 2"":""2d6"";""Damage 2 Type"":""fire""};{""Name"":""Fire Breath (Recharge 5-6)"";""Desc"":""The hound exhales fire in a 15-foot cone. Each creature in that area must make a DC 12 Dexterity saving throw; taking 21 (6d6) fire damage on a failed save; or half as much damage on a successful one.""}]"		Understands Infernal But Can't Speak It	700	Medium		15		+2	Darkvision 60 Ft.	Perception +5		50 ft.	17	Fire	+1		-2		6	-2	12	14		Lawful Evil	6	fiend	7d8+14		"[{""Name"":""Keen Hearing and Smell"";""Desc"":""The hound has advantage on Wisdom (Perception) checks that rely on hearing or smell.""};{""Name"":""Pack Tactics"";""Desc"":""The hound has advantage on an attack roll against a creature if at least one of the hound's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
Natural Armor	+4	8	+3	Cold; Fire; Lightning; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons	12		+4	136	Hezrou	11	"[{""Name"":""Multiattack"";""Desc"":""The hezrou makes three attacks: one with its bite and two with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""7"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d10 + 4"";""Damage Type"":""piercing""};{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""7"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 4"";""Damage Type"":""slashing""};{""Name"":""Variant: Summon Demon (1/Day)"";""Desc"":""The demon chooses what to summon and attempts a magical summoning.<br>A hezrou has a 30 percent chance of summoning 2d6 dretches or one hezrou.<br>A summoned demon appears in an unoccupied space within 60 feet of its summoner; acts as an ally of its summoner; and can't summon other demons. It remains for 1 minute; until it or its summoner dies; or until its summoner dismisses it as an action.""}]"		Abyssal; Telepathy 120 Ft.	3900	Large		16		+5	Darkvision 120 Ft.		+8	30 ft.	19	Poison	+1		-3	Poisoned	13	+1	17	20		Chaotic Evil	5	fiend (demon)	13d10+65	+7	"[{""Name"":""Magic Resistance"";""Desc"":""The hezrou has advantage on saving throws against spells and other magical effects.""};{""Name"":""Stench"";""Desc"":""Any creature that starts its turn within 10 feet of the hezrou must succeed on a DC 14 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw; the creature is immune to the hezrou's stench for 24 hours.""}]"
Natural Armor	+5	5	-1		9			105	Hill Giant	12	"[{""Name"":""Multiattack"";""Desc"":""The giant makes two greatclub attacks.""};{""Name"":""Greatclub"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""8"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""3d8 + 5"";""Damage Type"":""bludgeoning""};{""Name"":""Rock"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""8"";""Reach"":""60/240 ft."";""Target"":""one target"";""Damage"":""3d10 + 5"";""Damage Type"":""bludgeoning""}]"		Giant	1800	Huge		13		+4		Perception +2		40 ft.	21		-1		-3		6	-2	8	19		Chaotic Evil	5	giant	10d12+40		
	+3	1	+1		12			19	Hippogriff	15	"[{""Name"":""Multiattack"";""Desc"":""The hippogriff makes two attacks: one with its beak and one with its claws.""};{""Name"":""Beak"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d10 + 3"";""Damage Type"":""piercing""};{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 3"";""Damage Type"":""slashing""}]"			200	Large		11		+1		Perception +5		40 ft; fly 60 ft.	17		+1		-4		8	-1	13	13		Unaligned	2	monstrosity	3d10+3		"[{""Name"":""Keen Sight"";""Desc"":""The hippogriff has advantage on Wisdom (Perception) checks that rely on sight.""}]"
Chain Mail; Shield	+1	1/2	+1		10			11	Hobgoblin	10	"[{""Name"":""Longsword"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d10 + 1"";""Damage Type"":""slashing"";""Desc"":""two handed""};{""Name"":""Longsword"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d8 + 1"";""Damage Type"":""slashing"";""Desc"":""one handed""};{""Name"":""Longbow"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""3"";""Reach"":""150/600 ft."";""Target"":""one target"";""Damage"":""1d8 + 1"";""Damage Type"":""piercing""}]"		Common; Goblin	100	Medium		18		+1	Darkvision 60 Ft.			30 ft.	13		+0		+0		9	-1	12	12		Lawful Evil	10	humanoid (goblinoid)	2d8+2		"[{""Name"":""Martial Advantage"";""Desc"":""Once per turn; the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 ft. of an ally of the hobgoblin that isn't incapacitated.""}]"
Natural Armor	-3	0	+2		10			5	Homunculus	10	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d1"";""Damage Type"":""piercing"";""Desc"":""The target must succeed on a dc 10 constitution saving throw or be poisoned for 1 minute If the saving throw fails by 5 or more; the target is instead poisoned for 5 (1d10) minutes and unconscious while poisoned in this way""}]"		Understands The Languages Of Its Creator But Can't Speak	10	Tiny		13		+0	Darkvision 60 Ft.			20 ft.; fly 40 ft.	4	Poison	+0		+0	Charmed; Poisoned	7	-2	15	11		Neutral	10	construct	2d4		"[{""Name"":""Telepathic Bond"";""Desc"":""While the homunculus is on the same plane of existence as its master; it can magically convey what it senses to its master; and the two can communicate telepathically.""}]"
Natural Armor	+6	11	+3	Cold; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons That Aren't Silvered	16		+7	178	Horned Devil	13	"[{""Name"":""Multiattack"";""Desc"":""The devil makes three melee attacks: two with its fork and one with its tail. It can use Hurl Flame in place of any melee attack.""};{""Name"":""Fork"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""10"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d8 + 6"";""Damage Type"":""piercing""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""10"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""1d8 + 6"";""Damage Type"":""piercing"";""Desc"":""If the target is a creature other than an undead or a construct; it must succeed on a DC 17 Constitution saving throw or lose 10 (3d6) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this attack; the damage dealt by the wound increases by 10 (3d6). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing""};{""Name"":""Hurl Flame"";""Type Attack"":""Spell Attack"";""Type"":""Ranged"";""Hit Bonus"":""7"";""Reach"":""150 ft."";""Target"":""one target"";""Damage"":""4d6"";""Damage Type"":""fire"";""Desc"":""If the target is a flammable object that isn't being worn or carried; it also catches fire""}]"		Infernal; Telepathy 120 Ft.	7200	Large	+7	18	+7	+5	Darkvision 120 Ft.			20 ft.; fly 60 ft.	22	Fire; Poison	+3		+1	Poisoned	17	+3	17	21		Lawful Evil	12	fiend (devil)	17d10+85	+10	"[{""Name"":""Devil's Sight"";""Desc"":""Magical darkness doesn't impede the devil's darkvision.""};{""Name"":""Magic Resistance"";""Desc"":""The devil has advantage on saving throws against spells and other magical effects.""}]"
Natural Armor	+4	2	+1		10			45	Hunter Shark	12	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d8 + 4"";""Damage Type"":""piercing""}]"			450	Large		12		+2	Darkvision 30 Ft.	Perception +2		Swim 40 ft.	18		+0		-5		4	-3	13	15		Unaligned	1	beast	6d10+12		"[{""Name"":""Blood Frenzy"";""Desc"":""The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points.""};{""Name"":""Water Breathing"";""Desc"":""The shark can breathe only underwater.""}]"
Natural Armor	+5	8	+1		10			172	Hydra	16	"[{""Name"":""Multiattack"";""Desc"":""The hydra makes as many bite attacks as it has heads.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""8"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""1d10 + 5"";""Damage Type"":""piercing""}]"			3900	Huge		15		+5	Darkvision 60 Ft.	Perception +6		30 ft.; swim 30 ft.	20		+0		-4		7	-2	12	20		Unaligned	2	monstrosity	15d12+75		"[{""Name"":""Hold Breath"";""Desc"":""The hydra can hold its breath for 1 hour.""};{""Name"":""Multiple Heads"";""Desc"":""The hydra has five heads. While it has more than one head; the hydra has advantage on saving throws against being blinded; charmed; deafened; frightened; stunned; and knocked unconscious.<br>Whenever the hydra takes 25 or more damage in a single turn; one of its heads dies. If all its heads die; the hydra dies.<br>At the end of its turn; it grows two heads for each of its heads that died since its last turn; unless it has taken fire damage since its last turn. The hydra regains 10 hit points for each head regrown in this way.""};{""Name"":""Reactive Heads"";""Desc"":""For each head the hydra has beyond one; it gets an extra reaction that can be used only for opportunity attacks.""};{""Name"":""Wakeful"";""Desc"":""While the hydra sleeps; at least one of its heads is awake.""}]"
	+0	0	+1		12			5	Hyena	13	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6"";""Damage Type"":""piercing""}]"			10	Medium		11		+1		Perception +3		50 ft.	11		+1		-4		5	-3	13	12		Unaligned	2	beast	1d8+1		"[{""Name"":""Pack Tactics"";""Desc"":""The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
Natural Armor	+5	14	+2	Bludgeoning; Piercing; And Slashing From Nonmagical Weapons That Aren't Silvered	15		+7	180	Ice Devil	12	"[{""Name"":""Multiattack"";""Desc"":""The devil makes three attacks: one with its bite; one with its claws; and one with its tail.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""10"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 5"";""Damage Type"":""piercing"";""Damage 2"":""3d6"";""Damage 2 Type"":""cold""};{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""10"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d4 + 5"";""Damage Type"":""slashing"";""Damage 2"":""3d6"";""Damage 2 Type"":""cold""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""10"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d6 + 5"";""Damage Type"":""bludgeoning"";""Damage 2"":""3d6"";""Damage 2 Type"":""cold""};{""Name"":""Wall of Ice"";""Desc"":""The devil magically forms an opaque wall of ice on a solid surface it can see within 60 feet of it. The wall is 1 foot thick and up to 30 feet long and 10 feet high; or it's a hemispherical dome up to 20 feet in diameter.<br>When the wall appears; each creature in its space is pushed out of it by the shortest route. The creature chooses which side of the wall to end up on; unless the creature is incapacitated. The creature then makes a DC 17 Dexterity saving throw; taking 35 (10d6) cold damage on a failed save; or half as much damage on a successful one.<br>The wall lasts for 1 minute or until the devil is incapacitated or dies. The wall can be damaged and breached; each 10-foot section has AC 5; 30 hit points; vulnerability to fire damage; and immunity to acid; cold; necrotic; poison; and psychic damage. If a section is destroyed; it leaves behind a sheet of frigid air in the space the wall occupied. Whenever a creature finishes moving through the frigid air on a turn; willingly or otherwise; the creature must make a DC 17 Constitution saving throw; taking 17 (5d6) cold damage on a failed save; or half as much damage on a successful one. The frigid air dissipates when the rest of the wall vanishes.""}]"		Infernal; Telepathy 120 Ft.	11500	Large	+9	18	+7	+4	Blindsight 60 Ft.; Darkvision 120 Ft.		+9	40 ft.	21	Fire; Poison	+2		+4	Poisoned	18	+4	14	18		Lawful Evil	18	fiend (devil)	19d10+76		"[{""Name"":""Devil's Sight"";""Desc"":""Magical darkness doesn't impede the devil's darkvision.""};{""Name"":""Magic Resistance"";""Desc"":""The devil has advantage on saving throws against spells and other magical effects.""}]"
	-2	1/2	+1		11	Bludgeoning; Fire		21	Ice Mephit	12	"[{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d4 + 1"";""Damage Type"":""slashing"";""Damage 2"":""1d4"";""Damage 2 Type"":""cold""};{""Name"":""Frost Breath (Recharge 6)"";""Desc"":""The mephit exhales a 15-foot cone of cold air. Each creature in that area must succeed on a DC 10 Dexterity saving throw; taking 5 (2d4) cold damage on a failed save; or half as much damage on a successful one.""};{""Name"":""Variant: Summon Mephits (1/Day)"";""Desc"":""The mephit has a 25 percent chance of summoning 1d4 mephits of its kind. A summoned mephit appears in an unoccupied space within 60 feet of its summoner; acts as an ally of its summoner; and can't summon other mephits. It remains for 1 minute; until it or its summoner dies; or until its summoner dismisses it as an action.""}]"		Aquan; Auran	100	Small		11		+0	Darkvision 60 Ft.	Perception +2; Stealth +3		30 ft.; fly 30 ft.	7	Cold; Poison	+0		-1	Poisoned	12	+1	13	10		Neutral Evil	9	elemental	6d6		"[{""Name"":""Death Burst"";""Desc"":""When the mephit dies; it explodes in a burst of jagged ice. Each creature within 5 ft. of it must make a DC 10 Dexterity saving throw; taking 4 (1d8) slashing damage on a failed save; or half as much damage on a successful one.""};{""Name"":""False Appearance"";""Desc"":""While the mephit remains motionless; it is indistinguishable from an ordinary shard of ice.""};{""Name"":""Innate Spellcasting (1/Day)"";""Desc"":""The mephit can innately cast fog cloud; requiring no material components. Its innate spellcasting ability is Charisma.""}]"
	-2	1	+3	Cold; Bludgeoning; Piercing; And Slashing From Nonmagical/nonsilver Weapons	12			10	Imp	11	"[{""Name"":""Sting (Bite in Beast Form)"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 3"";""Damage Type"":""piercing"";""Damage 2"":""3d6"";""Damage 2 Type"":""poison"";""Desc"":""The target must make on a dc on a failed save; or half as much damage on a successful one""};{""Name"":""Invisibility"";""Desc"":""The imp magically turns invisible until it attacks; or until its concentration ends (as if concentrating on a spell). Any equipment the imp wears or carries is invisible with it.""}]"		Infernal; Common	200	Tiny		13		+1	Darkvision 120 Ft.	Deception +4; Insight +3; Persuasion +4; Stealth +5		20 ft.; fly 40 ft.	6	Fire; Poison	+1		+0	Poisoned	14	+2	17	13		Lawful Evil	11	fiend (devil)	3d4+3		"[{""Name"":""Shapechanger"";""Desc"":""The imp can use its action to polymorph into a beast form that resembles a rat (speed 20 ft.); a raven (20 ft.; fly 60 ft.); or a spider (20 ft.; climb 20 ft.); or back into its true form. Its statistics are the same in each form; except for the speed changes noted. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.""};{""Name"":""Devil's Sight"";""Desc"":""Magical darkness doesn't impede the imp's darkvision.""};{""Name"":""Magic Resistance"";""Desc"":""The imp has advantage on saving throws against spells and other magical effects.""};{""Name"":""Variant: Familiar"";""Desc"":""The imp can enter into a contract to serve another creature as a familiar; forming a Telepathic Bond with its willing master. While the two are bonded; the master can sense what the imp senses as long as they are within 1 mile of each other. While the imp is within 10 feet of its master; the master shares the imp\u2019s Magic Resistance trait. If its master violates the terms of the contract; the imp can end its service as a familiar; ending the Telepathic Bond.""}]"
	+3	6	+4	Bludgeoning; Piercing; And Slashing From Nonmagical Weapons	15			104	Invisible Stalker	18	"[{""Name"":""Multiattack"";""Desc"":""The stalker makes two slam attacks.""};{""Name"":""Slam"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 3"";""Damage Type"":""bludgeoning""}]"		Auran; Understands Common But Doesn't Speak It	2300	Medium		14		+2	Darkvision 60 Ft.	Perception +8; Stealth +10		50 ft.; fly 50 ft. (hover)	16	Poison	+2		+0	Exhaustion; Grappled; Paralyzed; Petrified; Poisoned; Prone; Restrained; Unconscious	11	+0	19	14		Neutral	10	elemental	16d8+32		"[{""Name"":""Invisibility"";""Desc"":""The stalker is invisible.""};{""Name"":""Faultless Tracker"";""Desc"":""The stalker is given a quarry by its summoner. The stalker knows the direction and distance to its quarry as long as the two of them are on the same plane of existence. The stalker also knows the location of its summoner.""}]"
Natural Armor	+7	16	-1		11			210	Iron Golem	10	"[{""Name"":""Multiattack"";""Desc"":""The golem makes two melee attacks.""};{""Name"":""Slam"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""13"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""3d8 + 7"";""Damage Type"":""bludgeoning""};{""Name"":""Sword"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""13"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""3d10 + 7"";""Damage Type"":""slashing""};{""Name"":""Poison Breath (Recharge 5-6)"";""Desc"":""The golem exhales poisonous gas in a 15-foot cone. Each creature in that area must make a DC 19 Constitution saving throw; taking 45 (l0d8) poison damage on a failed save; or half as much damage on a successful one.""}]"		Understands The Languages Of Its Creator But Can't Speak	15000	Large		20		+5	Darkvision 120 Ft.			30 ft.	24	Fire; Poison; Psychic; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons That Aren't Adamantine	+0		-4	Charmed; Exhaustion; Frightened; Paralyzed; Petrified; Poisoned	1	-5	9	20		Unaligned	3	construct	20d10+100		"[{""Name"":""Fire Absorption"";""Desc"":""Whenever the golem is subjected to fire damage; it takes no damage and instead regains a number of hit points equal to the fire damage dealt.""};{""Name"":""Immutable Form"";""Desc"":""The golem is immune to any spell or effect that would alter its form.""};{""Name"":""Magic Resistance"";""Desc"":""The golem has advantage on saving throws against spells and other magical effects.""};{""Name"":""Magic Weapons"";""Desc"":""The golem's weapon attacks are magical.""}]"
	-1	0	+2		12			3	Jackal	13	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""1"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 - 1"";""Damage Type"":""piercing""}]"			10	Small		12		+0		Perception +3		40 ft.	8		+1		-4		6	-2	15	11		Unaligned	3	beast	1d6		"[{""Name"":""Keen Hearing and Smell"";""Desc"":""The jackal has advantage on Wisdom (Perception) checks that rely on hearing or smell.""};{""Name"":""Pack Tactics"";""Desc"":""The jackal has advantage on an attack roll against a creature if at least one of the jackal's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
Natural Armor	+4	3	+0		12			90	Killer Whale	13	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""5d6 + 4"";""Damage Type"":""piercing""}]"			700	Huge		12		+1	Blindsight 120 Ft.	Perception +3		Swim 60 ft.	19		+1		-4		7	-2	10	13		Unaligned	3	beast	12d12+12		"[{""Name"":""Echolocation"";""Desc"":""The whale can't use its blindsight while deafened.""};{""Name"":""Hold Breath"";""Desc"":""The whale can hold its breath for 30 minutes""};{""Name"":""Keen Hearing"";""Desc"":""The whale has advantage on Wisdom (Perception) checks that rely on hearing.""}]"
Plate	+3	3	+0		11		+2	52	Knight	10	"[{""Name"":""Multiattack"";""Desc"":""The knight makes two melee attacks.""};{""Name"":""Greatsword"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 3"";""Damage Type"":""slashing""};{""Name"":""Heavy Crossbow"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""2"";""Reach"":""100/400 ft."";""Target"":""one target"";""Damage"":""1d10"";""Damage Type"":""piercing""};{""Name"":""Leadership (Recharges after a Short or Long Rest)"";""Desc"":""For 1 minute; the knight can utter a special command or warning whenever a nonhostile creature that it can see within 30 ft. of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the knight. A creature can benefit from only one Leadership die at a time. This effect ends if the knight is incapacitated.""}]"		Any One Language (Usually Common)	700	Medium		18		+2			+4	30 ft.	16		+0	"[{""Name"":""Parry"";""Desc"":""The knight adds 2 to its AC against one melee attack that would hit it. To do so; the knight must see the attacker and be wielding a melee weapon.""}]"	+0		15	+2	11	14		Any Alignment	11	humanoid (any race)	8d8+16		"[{""Name"":""Brave"";""Desc"":""The knight has advantage on saving throws against being frightened.""}]"
	-2	1/8	+2		7			5	Kobold	8	"[{""Name"":""Dagger"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 2"";""Damage Type"":""piercing""};{""Name"":""Sling"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""4"";""Reach"":""30/120 ft."";""Target"":""one target"";""Damage"":""1d4 + 2"";""Damage Type"":""bludgeoning""}]"		Common; Draconic	25	Small		12		-1	Darkvision 60 Ft.			30 ft.	7		-2		-1		8	-1	15	9		Lawful Evil	8	humanoid (kobold)	2d6-2		"[{""Name"":""Sunlight Sensitivity"";""Desc"":""While in sunlight; the kobold has disadvantage on attack rolls; as well as on Wisdom (Perception) checks that rely on sight.""};{""Name"":""Pack Tactics"";""Desc"":""The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
Natural Armor	+10	23	+0		18		+11	472	Kraken	14	"[{""Name"":""Multiattack"";""Desc"":""The kraken makes three tentacle attacks; each of which it can replace with one use of Fling.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""17"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""3d8 + 10"";""Damage Type"":""piercing"";""Desc"":""If the target is a Large or smaller creature grappled by the kraken; that creature is swallowed; and the grapple ends. While swallowed; the creature is blinded and restrained; it has total cover against attacks and other effects outside the kraken; and it takes 42 (12d6) acid damage at the start of each of the kraken's turns. If the kraken takes 50 damage or more on a single turn from a creature inside it; the kraken must succeed on a DC 25 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures; which fall prone in a space within 10 feet of the kraken. If the kraken dies; a swallowed creature is no longer restrained by it and can escape from the corpse using 15 feet of movement; exiting prone""};{""Name"":""Tentacle"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""17"";""Reach"":""30 ft."";""Target"":""one target"";""Damage"":""3d6 + 10"";""Damage Type"":""bludgeoning"";""Desc"":""The target is grappled (escape dc 18) Until this grapple ends; the target is restrained. The kraken has ten tentacles; each of which can grapple one target""};{""Name"":""Fling"";""Desc"":""One Large or smaller object held or creature grappled by the kraken is thrown up to 60 feet in a random direction and knocked prone. If a thrown target strikes a solid surface; the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature; that creature must succeed on a DC 18 Dexterity saving throw or take the same damage and be knocked prone.""};{""Name"":""Lightning Storm"";""Desc"":""The kraken magically creates three bolts of lightning; each of which can strike a target the kraken can see within 120 feet of it. A target must make a DC 23 Dexterity saving throw; taking 22 (4d10) lightning damage on a failed save; or half as much damage on a successful one.""}]"	"[{""Name"":""Tentacle Attack or Fling"";""Desc"":""The kraken makes one tentacle attack or uses its Fling.""};{""Name"":""Lightning Storm (Costs 2 Actions)"";""Desc"":""The kraken uses Lightning Storm.""};{""Name"":""Ink Cloud (Costs 3 Actions)"";""Desc"":""While underwater; the kraken expels an ink cloud in a 60-foot radius. The cloud spreads around corners; and that area is heavily obscured to creatures other than the kraken. Each creature other than the kraken that ends its turn there must succeed on a DC 23 Constitution saving throw; taking 16 (3d10) poison damage on a failed save; or half as much damage on a successful one. A strong current disperses the cloud; which otherwise disappears at the end of the kraken's next turn.""}]"	Understands Abyssal; Celestial; Infernal; And Primordial But Can't Speak; Telepathy 120 Ft.	50000	Gargantuan		18	+7	+7	Truesight 120 Ft.		+14	20 ft.; swim 60 ft.	30	Lightning; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons	+4		+6	Frightened; Paralyzed	20	+5	11	25	+13	Chaotic Evil	22	monstrosity (titan)	27d20+189	+17	"[{""Name"":""Amphibious"";""Desc"":""The kraken can breathe air and water.""};{""Name"":""Freedom of Movement"";""Desc"":""The kraken ignores difficult terrain; and magical effects can't reduce its speed or cause it to be restrained. It can spend 5 feet of movement to escape from nonmagical restraints or being grappled.""};{""Name"":""Siege Monster"";""Desc"":""The kraken deals double damage to objects and structures.""}]"
