Name,Tags/Lair,Environment,Source,Page,Reference,SRD,armor_type,str_mod,cr,dex_mod,damage_resistances,wis,vulnerabilities,wis_save,hp_average,passive_perception,actions,legnedary_actions,launguages,xp,size,cha_save,armor_class,dex_save,con_mod,senses,skills,con_save,speed,str,damage_immunities,wis_mod,reactions,int_mod,condition_immunities,cha,cha_mod,dex,con,int_save,alignment,int,type,hp_source,str_save,special_abilties
Hippogriff,,Grassland; Hills; Mountain,MM,184.0,MM184,Y,,3.0,1,1.0,,12.0,,,19.0,15.0,"[{""Name"":""Multiattack"";""Desc"":""The hippogriff makes two attacks: one with its beak and one with its claws.""};{""Name"":""Beak"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d10 + 3"";""Damage Type"":""piercing""};{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 3"";""Damage Type"":""slashing""}]",,,200.0,Large,,11.0,,1.0,,Perception +5,,40 ft; fly 60 ft.,17.0,,1.0,,-4.0,,8.0,-1.0,13.0,13.0,,Unaligned,2.0,monstrosity,3d10+3,,"[{""Name"":""Keen Sight"";""Desc"":""The hippogriff has advantage on Wisdom (Perception) checks that rely on sight.""}]"
Imp,"devil, shapechanger",Extraplanar (Lower Planes),MM,76.0,MM76,Y,,-2.0,1,3.0,Cold; Bludgeoning; Piercing; And Slashing From Nonmagical/nonsilver Weapons,12.0,,,10.0,11.0,"[{""Name"":""Sting (Bite in Beast Form)"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 3"";""Damage Type"":""piercing"";""Damage 2"":""3d6"";""Damage 2 Type"":""poison"";""Desc"":""The target must make on a dc on a failed save; or half as much damage on a successful one""};{""Name"":""Invisibility"";""Desc"":""The imp magically turns invisible until it attacks; or until its concentration ends (as if concentrating on a spell). Any equipment the imp wears or carries is invisible with it.""}]",,Infernal; Common,200.0,Tiny,,13.0,,1.0,Darkvision 120 Ft.,Deception +4; Insight +3; Persuasion +4; Stealth +5,,20 ft.; fly 40 ft.,6.0,Fire; Poison,1.0,,0.0,Poisoned,14.0,2.0,17.0,13.0,,Lawful Evil,11.0,fiend (devil),3d4+3,,"[{""Name"":""Shapechanger"";""Desc"":""The imp can use its action to polymorph into a beast form that resembles a rat (speed 20 ft.); a raven (20 ft.; fly 60 ft.); or a spider (20 ft.; climb 20 ft.); or back into its true form. Its statistics are the same in each form; except for the speed changes noted. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.""};{""Name"":""Devil's Sight"";""Desc"":""Magical darkness doesn't impede the imp's darkvision.""};{""Name"":""Magic Resistance"";""Desc"":""The imp has advantage on saving throws against spells and other magical effects.""};{""Name"":""Variant: Familiar"";""Desc"":""The imp can enter into a contract to serve another creature as a familiar; forming a Telepathic Bond with its willing master. While the two are bonded; the master can sense what the imp senses as long as they are within 1 mile of each other. While the imp is within 10 feet of its master; the master shares the imp\u2019s Magic Resistance trait. If its master violates the terms of the contract; the imp can end its service as a familiar; ending the Telepathic Bond.""}]"
Kuo-toa Whip,kuo-toa,Underdark,MM,200.0,MM200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,,Desert; Grassland; Hills; Mountain,MM,331.0,MM331,,,3.0,1,2.0,,12.0,,,26.0,13.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d8 + 3"";""Damage Type"":""piercing""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6 + 3"";""Damage Type"":""slashing""}]",,,200.0,Large,,12.0,,1.0,,Perception +3; Stealth +6,,50 ft.,17.0,,1.0,,-4.0,,8.0,-1.0,15.0,13.0,,Unaligned,3.0,beast,4d10+4,,"[{""Name"":""Keen Smell"";""Desc"":""The lion has advantage on Wisdom (Perception) checks that rely on smell.""};{""Name"":""Pack Tactics"";""Desc"":""The lion has advantage on an attack roll against a creature if at least one of the lion's allies is within 5 ft. of the creature and the ally isn't incapacitated.""};{""Name"":""Pounce"";""Desc"":""If the lion moves at least 20 ft. straight toward a creature and then hits it with a claw attack on the same turn; that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone; the lion can make one bite attack against it as a bonus action.""};{""Name"":""Running Leap"";""Desc"":""With a 10-foot running start; the lion can long jump up to 25 ft..""}]"
Quadrone,,Extraplanar (Mechanus),MM,226.0,MM226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaggoth Spore Servant,,Underdark,MM,230.0,MM230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quasit,"demon, shapechanger",Extraplanar (Lower Planes),MM,63.0,MM63,Y,,-3.0,1,3.0,Cold; Fire; Lightning; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons,10.0,,,7.0,10.0,"[{""Name"":""Claw (Bite in Beast Form)"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 3"";""Damage Type"":""piercing"";""Damage 2"":""2d4"";""Damage 2 Type"":""poison"";""Desc"":""The target must succeed on a dc and become poisoned for 1 minute The target can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success""};{""Name"":""Scare (1/day)"";""Desc"":""One creature of the quasit's choice within 20 ft. of it must succeed on a DC 10 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns; with disadvantage if the quasit is within line of sight; ending the effect on itself on a success.""};{""Name"":""Invisibility"";""Desc"":""The quasit magically turns invisible until it attacks or uses Scare; or until its concentration ends (as if concentrating on a spell). Any equipment the quasit wears or carries is invisible with it.""}]",,Abyssal; Common,200.0,Tiny,,13.0,,0.0,Darkvision 120 Ft.,Stealth +5,,40 ft.,5.0,Poison,0.0,,-2.0,Poisoned,10.0,0.0,17.0,10.0,,Chaotic Evil,7.0,fiend (demon),3d4,,"[{""Name"":""Shapechanger"";""Desc"":""The quasit can use its action to polymorph into a beast form that resembles a bat (speed 10 ft. fly 40 ft.); a centipede (40 ft.; climb 40 ft.); or a toad (40 ft.; swim 40 ft.); or back into its true form. Its statistics are the same in each form; except for the speed changes noted. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.""};{""Name"":""Magic Resistance"";""Desc"":""The quasit has advantage on saving throws against spells and other magical effects.""};{""Name"":""Variant: Familiar"";""Desc"":""The quasit can serve another creature as a familiar; forming a telepathic bond with its willing master. While the two are bonded; the master can sense what the quasit senses as long as they are within 1 mile of each other. While the quasit is within 10 feet of its master; the master shares the quasit's Magic Resistance trait. At any time and for any reason; the quasit can end its service as a familiar; ending the telepathic bond.""}]"
Scarecrow,,Grassland,MM,268.0,MM268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specter,,Underdark; Urban,MM,279.0,MM279,Y,,-5.0,1,2.0,Acid; Cold; Fire; Lightning; Thunder; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons,10.0,,,22.0,10.0,"[{""Name"":""Life Drain"";""Type Attack"":""Spell Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""3d6"";""Damage Type"":""necrotic"";""Desc"":""The target must succeed on a DC 10 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the creature finishes a long rest. The target dies if this effect reduces its hit point maximum to 0""}]",,Understands All Languages It Knew In Life But Can't Speak,200.0,Medium,,12.0,,0.0,Darkvision 60 Ft.,,,0 ft.; fly 50 ft. (hover),1.0,Necrotic; Poison,0.0,,0.0,Charmed; Exhaustion; Grappled; Paralyzed; Petrified; Poisoned; Prone; Restrained; Unconscious,11.0,0.0,14.0,11.0,,Chaotic Evil,10.0,undead,5d8,,"[{""Name"":""Incorporeal Movement"";""Desc"":""The specter can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.""};{""Name"":""Sunlight Sensitivity"";""Desc"":""While in sunlight; the specter has disadvantage on attack rolls; as well as on Wisdom (Perception) checks that rely on sight.""}]"
Swarm of Quippers,,Underwater,MM,338.0,MM338,,,1.0,1,3.0,Bludgeoning; Piercing; Slashing,7.0,,,28.0,8.0,"[{""Name"":""Bites"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""0 ft."";""Target"":""one creature in the swarm's space"";""Damage"":""4d6"";""Damage Type"":""piercing"";""Damage 2"":""2d6"";""Damage 2 Type"":""piercing"";""Desc"":""Or if the swarm has half of its hit points or fewer""}]",,,200.0,Medium,,13.0,,-1.0,Darkvision 60 Ft.,,,0 ft.; swim 40 ft.,13.0,,-2.0,,-5.0,Charmed; Frightened; Grappled; Paralyzed; Petrified; Prone; Restrained; Stunned,2.0,-4.0,16.0,9.0,,Unaligned,1.0,swarm of tiny beasts,8d8-8,,"[{""Name"":""Blood Frenzy"";""Desc"":""The swarm has advantage on melee attack rolls against any creature that doesn't have all its hit points.""};{""Name"":""Swarm"";""Desc"":""The swarm can occupy another creature's space and vice versa; and the swarm can move through any opening large enough for a Tiny quipper. The swarm can't regain hit points or gain temporary hit points.""};{""Name"":""Water Breathing"";""Desc"":""The swarm can breathe only underwater.""}]"
Thri-kreen,thri-kreen,Desert; Grassland,MM,288.0,MM288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger,,Forest; Grassland,MM,339.0,MM339,,,3.0,1,2.0,,12.0,,,37.0,13.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d10 + 3"";""Damage Type"":""piercing""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d8 + 3"";""Damage Type"":""slashing""}]",,,200.0,Large,,12.0,,2.0,Darkvision 60 Ft.,Perception +3; Stealth +6,,40 ft.,17.0,,1.0,,-4.0,,8.0,-1.0,15.0,14.0,,Unaligned,3.0,beast,5d10+10,,"[{""Name"":""Keen Smell"";""Desc"":""The tiger has advantage on Wisdom (Perception) checks that rely on smell.""};{""Name"":""Pounce"";""Desc"":""If the tiger moves at least 20 ft. straight toward a creature and then hits it with a claw attack on the same turn; that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone; the tiger can make one bite attack against it as a bonus action.""}]"
Young Faerie Dragon,,Forest,MM,133.0,MM133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan-ti Pureblood,yuan-ti,Desert; Forest; Swamp; Urban,MM,310.0,MM310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Faerie Dragon,,Forest,MM,133.0,MM133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allosaurus (Bloodmaw),dinosaur/behemoth,Grassland,MM,79.0,MM79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankheg,,Forest; Grassland,MM,21.0,MM21,Y,Natural Armor; 11 While Prone,3.0,2,0.0,,13.0,,,39.0,11.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 3"";""Damage Type"":""slashing"";""Damage 2"":""1d6"";""Damage 2 Type"":""acid"";""Desc"":""If the target is a Large or smaller creature; it is grappled (escape DC 13). Until this grapple ends; the ankheg can bite only the grappled creature and has advantage on attack rolls to do so""};{""Name"":""Acid Spray (Recharge 6)"";""Desc"":""The ankheg spits acid in a line that is 30 ft. long and 5 ft. wide; provided that it has no creature grappled. Each creature in that line must make a DC 13 Dexterity saving throw; taking 10 (3d6) acid damage on a failed save; or half as much damage on a successful one.""}]",,,450.0,Large,,14.0,,1.0,Darkvision 60 Ft.; Tremorsense 60 Ft.,,,30 ft.; burrow 10 ft.,17.0,,1.0,,-5.0,,6.0,-2.0,11.0,13.0,,Unaligned,1.0,monstrosity,6d10+6,,
Awakened Tree,,Forest,MM,317.0,MM317,,Natural Armor,4.0,2,-2.0,Bludgeoning; Piercing,10.0,Fire,,59.0,10.0,"[{""Name"":""Slam"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""3d6 + 4"";""Damage Type"":""bludgeoning""}]",,One Language Known By Its Creator,450.0,Huge,,13.0,,2.0,,,,20 ft.,19.0,,0.0,,0.0,,7.0,-2.0,6.0,15.0,,Unaligned,10.0,plant,7d12+14,,"[{""Name"":""False Appearance"";""Desc"":""While the tree remains motionless; it is indistinguishable from a normal tree.""}]"
Azer,,Extraplanar (Elemental),MM,22.0,MM22,Y,Natural Armor; Shield,3.0,2,1.0,,13.0,,,39.0,11.0,"[{""Name"":""Warhammer"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d10 + 3"";""Damage Type"":""bludgeoning"";""Damage 2"":""1d6"";""Damage 2 Type"":""fire"";""Desc"":""two handed""};{""Name"":""Warhammer"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d8 + 3"";""Damage Type"":""bludgeoning"";""Damage 2"":""1d6"";""Damage 2 Type"":""fire"";""Desc"":""one handed""}]",,Ignan,450.0,Medium,,17.0,,2.0,,,4.0,30 ft.,17.0,Fire; Poison,1.0,,1.0,Poisoned,10.0,0.0,12.0,15.0,,Lawful Neutral,12.0,elemental,6d8+12,,"[{""Name"":""Heated Body"";""Desc"":""A creature that touches the azer or hits it with a melee attack while within 5 ft. of it takes 5 (1d10) fire damage.""};{""Name"":""Heated Weapons"";""Desc"":""When the azer hits with a metal melee weapon; it deals an extra 3 (1d6) fire damage (included in the attack).""};{""Name"":""Illumination"";""Desc"":""The azer sheds bright light in a 10-foot radius and dim light for an additional 10 ft..""}]"
Black Dragon Wyrmling,,Swamp,MM,88.0,MM88,Y,Natural Armor,2.0,2,2.0,,11.0,,2.0,33.0,14.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d10 + 2"";""Damage Type"":""piercing"";""Damage 2"":""1d4"";""Damage 2 Type"":""acid""};{""Name"":""Acid Breath (Recharge 5-6)"";""Desc"":""The dragon exhales acid in a 15-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw; taking 22 (5d8) acid damage on a failed save; or half as much damage on a successful one.""}]",,Draconic,450.0,Medium,3.0,17.0,4.0,1.0,Blindsight 10 Ft.; Darkvision 60 Ft.,Perception +4; Stealth +4,3.0,30 ft.; fly 60 ft.; swim 30 ft.,15.0,Acid,0.0,,0.0,,13.0,1.0,14.0,13.0,,Chaotic Evil,10.0,dragon,6d8+6,,"[{""Name"":""Amphibious"";""Desc"":""The dragon can breathe air and water.""}]"
Bronze Dragon Wyrmling,,Coastal,MM,109.0,MM109,Y,Natural Armor,3.0,2,0.0,,11.0,,2.0,32.0,14.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d10 + 3"";""Damage Type"":""piercing""};{""Name"":""Breath Weapons (Recharge 5-6)"";""Desc"":""The dragon uses one of the following breath weapons.<br>Lightning Breath. The dragon exhales lightning in a 40-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw; taking 16 (3d10) lightning damage on a failed save; or half as much damage on a successful one.<br>Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 12 Strength saving throw. On a failed save; the creature is pushed 30 feet away from the dragon.""}]",,Draconic,450.0,Medium,4.0,17.0,2.0,2.0,Blindsight 10 Ft.; Darkvision 60 Ft.,Perception +4; Stealth +2,4.0,30 ft.; fly 60 ft.; swim 30 ft.,17.0,Lightning,0.0,,1.0,,15.0,2.0,10.0,15.0,,Lawful Good,12.0,dragon,5d8+10,,"[{""Name"":""Amphibious"";""Desc"":""The dragon can breathe air and water.""}]"
Carrion Crawler,,Underdark,MM,37.0,MM37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cave Bear,,Underdark,MM,334.0,MM334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaur,,Forest; Grassland,MM,38.0,MM38,Y,,4.0,2,2.0,,13.0,,,45.0,13.0,"[{""Name"":""Multiattack"";""Desc"":""The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.""};{""Name"":""Pike"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""1d10 + 4"";""Damage Type"":""piercing""};{""Name"":""Hooves"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 4"";""Damage Type"":""bludgeoning""};{""Name"":""Longbow"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""4"";""Reach"":""150/600 ft."";""Target"":""one target"";""Damage"":""1d8 + 2"";""Damage Type"":""piercing""}]",,Elvish; Sylvan,450.0,Large,,12.0,,2.0,,Athletics +6; Perception +3; Survival +3,,50 ft.,18.0,,1.0,,-1.0,,11.0,0.0,14.0,14.0,,Neutral Good,9.0,monstrosity,6d10+12,,"[{""Name"":""Charge"";""Desc"":""If the centaur moves at least 30 ft. straight toward a target and then hits it with a pike attack on the same turn; the target takes an extra 10 (3d6) piercing damage.""}]"
Ettercap,,Forest,MM,131.0,MM131,Y,Natural Armor,2.0,2,2.0,,12.0,,,44.0,13.0,"[{""Name"":""Multiattack"";""Desc"":""The ettercap makes two attacks: one with its bite and one with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d8 + 2"";""Damage Type"":""piercing"";""Damage 2"":""1d8"";""Damage 2 Type"":""poison"";""Desc"":""The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. The creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success""};{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d4 + 2"";""Damage Type"":""slashing""};{""Name"":""Web (Recharge 5-6)"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""4"";""Reach"":""30/60 ft."";""Target"":""one large or smaller creature"";""Desc"":""The creature is restrained by webbing As an action; the restrained creature can make a DC 11 Strength check; escaping from the webbing on a success. The effect ends if the webbing is destroyed. The webbing has AC 10; 5 hit points; is vulnerable to fire damage and immune to bludgeoning damage""};{""Name"":""Variant: Web Garrote"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one medium or small creature against which the ettercap has advantage on the attack roll"";""Damage"":""1d4 + 2"";""Damage Type"":""bludgeoning"";""Desc"":""The target is grappled; escape dc 12 Until this grapple ends; the target can't breathe; and the ettercap has advantage on attack rolls against it""}]",,,450.0,Medium,,13.0,,1.0,Darkvision 60 Ft.,Perception +3; Stealth +4; Survival +3,,30 ft.; climb 30 ft.,14.0,,1.0,,-2.0,,8.0,-1.0,15.0,13.0,,Neutral Evil,7.0,monstrosity,8d8+8,,"[{""Name"":""Spider Climb"";""Desc"":""The ettercap can climb difficult surfaces; including upside down on ceilings; without needing to make an ability check.""};{""Name"":""Web Sense"";""Desc"":""While in contact with a web; the ettercap knows the exact location of any other creature in contact with the same web.""};{""Name"":""Web Walker"";""Desc"":""The ettercap ignores movement restrictions caused by webbing.""}]"
Gargoyle,,Underdark; Urban,MM,140.0,MM140,Y,Natural Armor,2.0,2,0.0,Bludgeoning; Piercing; And Slashing From Nonmagical Weapons That Aren't Adamantine,11.0,,,52.0,10.0,"[{""Name"":""Multiattack"";""Desc"":""The gargoyle makes two attacks: one with its bite and one with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6 + 2"";""Damage Type"":""piercing""};{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6 + 2"";""Damage Type"":""slashing""}]",,Terran,450.0,Medium,,15.0,,3.0,Darkvision 60 Ft.,,,30 ft.; fly 60 ft.,15.0,Poison,0.0,,-2.0,Exhaustion; Petrified; Poisoned,7.0,-2.0,11.0,16.0,,Chaotic Evil,6.0,elemental,7d8+21,,"[{""Name"":""False Appearance"";""Desc"":""While the gargoyle remains motion less; it is indistinguishable from an inanimate statue.""}]"
Gelatinous Cube,,Underdark,MM,242.0,MM242,Y,,2.0,2,-4.0,,6.0,,,84.0,8.0,"[{""Name"":""Pseudopod"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""3d6"";""Damage Type"":""acid""};{""Name"":""Engulf"";""Desc"":""The cube moves up to its speed. While doing so; it can enter Large or smaller creatures' spaces. Whenever the cube enters a creature's space; the creature must make a DC 12 Dexterity saving throw.<br>On a successful save; the creature can choose to be pushed 5 feet back or to the side of the cube. A creature that chooses not to be pushed suffers the consequences of a failed saving throw.<br>On a failed save; the cube enters the creature's space; and the creature takes 10 (3d6) acid damage and is engulfed. The engulfed creature can't breathe; is restrained; and takes 21 (6d6) acid damage at the start of each of the cube's turns. When the cube moves; the engulfed creature moves with it.<br>An engulfed creature can try to escape by taking an action to make a DC 12 Strength check. On a success; the creature escapes and enters a space of its choice within 5 feet of the cube.""}]",,,450.0,Large,,6.0,,5.0,Blindsight 60 Ft. (Blind Beyond This Radius),,,15 ft.,14.0,,-2.0,,-5.0,Blinded; Charmed; Deafened; Exhaustion; Frightened; Prone,1.0,-5.0,3.0,20.0,,Unaligned,1.0,ooze,8d10+40,,"[{""Name"":""Ooze Cube"";""Desc"":""The cube takes up its entire space. Other creatures can enter the space; but a creature that does so is subjected to the cube's Engulf and has disadvantage on the saving throw.<br>Creatures inside the cube can be seen but have total cover.<br>A creature within 5 feet of the cube can take an action to pull a creature or object out of the cube. Doing so requires a successful DC 12 Strength check; and the creature making the attempt takes 10 (3d6) acid damage.<br>The cube can hold only one Large creature or up to four Medium or smaller creatures inside it at a time.""};{""Name"":""Transparent"";""Desc"":""Even when the cube is in plain sight; it takes a successful DC 15 Wisdom (Perception) check to spot a cube that has neither moved nor attacked. A creature that tries to enter the cube's space while unaware of the cube is surprised by the cube.""}]"
Ghast,,Swamp; Underdark; Urban,MM,148.0,MM148,Y,,3.0,2,3.0,necrotic,10.0,,,36.0,10.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""2d8 + 3"";""Damage Type"":""piercing""};{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 3"";""Damage Type"":""slashing"";""Desc"":""If the target is a creature other than an undead; it must succeed on a DC 10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success""}]",,Common,450.0,Medium,,13.0,,0.0,Darkvision 60 Ft.,,,30 ft.,16.0,poison,0.0,,0.0,charmed; exhaustion; poisoned,8.0,-1.0,17.0,10.0,,Chaotic Evil,11.0,undead,8d8,,"[{""Name"":""Stench"";""Desc"":""Any creature that starts its turn within 5 ft. of the ghast must succeed on a DC 10 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw; the creature is immune to the ghast's Stench for 24 hours.""};{""Name"":""Turn Defiance"";""Desc"":""The ghast and any ghouls within 30 ft. of it have advantage on saving throws against effects that turn undead.""}]"
Giant Boar,,Forest; Grassland; Hills,MM,323.0,MM323,,Natural Armor,3.0,2,0.0,,7.0,,,42.0,8.0,"[{""Name"":""Tusk"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 3"";""Damage Type"":""slashing""}]",,,450.0,Large,,12.0,,3.0,,,,40 ft.,17.0,,-2.0,,-4.0,,5.0,-3.0,10.0,16.0,,Unaligned,2.0,beast,5d10+5,,"[{""Name"":""Charge"";""Desc"":""If the boar moves at least 20 ft. straight toward a target and then hits it with a tusk attack on the same turn; the target takes an extra 7 (2d6) slashing damage. If the target is a creature; it must succeed on a DC 13 Strength saving throw or be knocked prone.""};{""Name"":""Relentless (Recharges after a Short or Long Rest)"";""Desc"":""If the boar takes 10 damage or less that would reduce it to 0 hit points; it is reduced to 1 hit point instead.""}]"
Giant Constrictor Snake,,Desert; Forest; Swamp; Underdark; Underwater,MM,324.0,MM324,,,4.0,2,2.0,,10.0,,,60.0,12.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""10 ft."";""Target"":""one creature"";""Damage"":""2d6 + 4"";""Damage Type"":""piercing""};{""Name"":""Constrict"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""2d8 + 4"";""Damage Type"":""bludgeoning"";""Desc"":""The target is grappled (escape dc 16) Until this grapple ends; the creature is restrained; and the snake can't constrict another target""}]",,,450.0,Huge,,12.0,,1.0,Blindsight 10 Ft.,Perception +2,,30 ft.; swim 30 ft.,19.0,,0.0,,-5.0,,3.0,-4.0,14.0,12.0,,Unaligned,1.0,beast,8d12+8,,
